model,scores,precision,recall,f1-score,support
standardScaler,-1, 0.46 , 0.96 , 0.62 , 450 
,1, 0.55 , 0.04 , 0.08 , 539 
,accuracy, 0.46 , 0.46 , 0.46 , 0.46 
,macro avg, 0.50 , 0.50 , 0.35 , 989 
,weighted avg, 0.51 , 0.46 , 0.32 , 989 
,,,,,
zScores,-1, 0.47 , 0.38 , 0.42 , 450 
,1, 0.55 , 0.64 , 0.59 , 539 
,accuracy, 0.52 , 0.52 , 0.52 , 0.52 
,macro avg, 0.51 , 0.51 , 0.50 , 989 
,weighted avg, 0.51 , 0.52 , 0.51 , 989 
,,,,,
normalized,-1, 0.45 , 0.61 , 0.51 , 450 
,1, 0.53 , 0.37 , 0.44 , 539 
,accuracy, 0.48 , 0.48 , 0.48 , 0.48 
,macro avg, 0.49 , 0.49 , 0.48 , 989 
,weighted avg, 0.49 , 0.48 , 0.47 , 989 
